start
use_cuda: True
learning starting
epoch: 0, loss: 1.054, valid accuracy: 0.45063, train accuracy: 0.43304
epoch: 1, loss: 0.956, valid accuracy: 0.57256, train accuracy: 0.57491
epoch: 2, loss: 0.873, valid accuracy: 0.57915, train accuracy: 0.60829
epoch: 3, loss: 0.831, valid accuracy: 0.60278, train accuracy: 0.63083
epoch: 4, loss: 0.846, valid accuracy: 0.61115, train accuracy: 0.63720
epoch: 5, loss: 0.799, valid accuracy: 0.63448, train accuracy: 0.66720
epoch: 6, loss: 0.749, valid accuracy: 0.63882, train accuracy: 0.67446
epoch: 7, loss: 0.736, valid accuracy: 0.62833, train accuracy: 0.67542
epoch: 8, loss: 0.715, valid accuracy: 0.63238, train accuracy: 0.69084
epoch: 9, loss: 0.723, valid accuracy: 0.61089, train accuracy: 0.69292
epoch: 10, loss: 0.759, valid accuracy: 0.61119, train accuracy: 0.68131
epoch: 11, loss: 0.744, valid accuracy: 0.60365, train accuracy: 0.67615
epoch: 12, loss: 0.708, valid accuracy: 0.63614, train accuracy: 0.69700
epoch: 13, loss: 0.677, valid accuracy: 0.64649, train accuracy: 0.70929
epoch: 14, loss: 0.636, valid accuracy: 0.64490, train accuracy: 0.72949
epoch: 15, loss: 0.626, valid accuracy: 0.63260, train accuracy: 0.73480
epoch: 16, loss: 0.609, valid accuracy: 0.62901, train accuracy: 0.74283
epoch: 17, loss: 0.609, valid accuracy: 0.63781, train accuracy: 0.74289
epoch: 18, loss: 0.603, valid accuracy: 0.62596, train accuracy: 0.74164
epoch: 19, loss: 0.605, valid accuracy: 0.64539, train accuracy: 0.74131
epoch: 20, loss: 0.597, valid accuracy: 0.62105, train accuracy: 0.74463
epoch: 21, loss: 0.593, valid accuracy: 0.64764, train accuracy: 0.74618
epoch: 22, loss: 0.576, valid accuracy: 0.62468, train accuracy: 0.75101
epoch: 23, loss: 0.552, valid accuracy: 0.65056, train accuracy: 0.76357
epoch: 24, loss: 0.545, valid accuracy: 0.64646, train accuracy: 0.76636
epoch: 25, loss: 0.524, valid accuracy: 0.64672, train accuracy: 0.77504
epoch: 26, loss: 0.521, valid accuracy: 0.65034, train accuracy: 0.77366
epoch: 27, loss: 0.508, valid accuracy: 0.65197, train accuracy: 0.78108
epoch: 28, loss: 0.508, valid accuracy: 0.64431, train accuracy: 0.78077
epoch: 29, loss: 0.515, valid accuracy: 0.64447, train accuracy: 0.77930
epoch: 30, loss: 0.520, valid accuracy: 0.64794, train accuracy: 0.77935
epoch: 31, loss: 0.533, valid accuracy: 0.64075, train accuracy: 0.77726
epoch: 32, loss: 0.508, valid accuracy: 0.64593, train accuracy: 0.78289
epoch: 33, loss: 0.497, valid accuracy: 0.65199, train accuracy: 0.78433
epoch: 34, loss: 0.475, valid accuracy: 0.65169, train accuracy: 0.79491
epoch: 35, loss: 0.465, valid accuracy: 0.64362, train accuracy: 0.79796
epoch: 36, loss: 0.461, valid accuracy: 0.64686, train accuracy: 0.80036
epoch: 37, loss: 0.460, valid accuracy: 0.64862, train accuracy: 0.79965
